,location,out,player,position,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_one_on_one,shot_open_goal,shot_outcome,shot_technique,shot_type,under_pressure,shot_saved_to_post,shot_saved_off_target,xG,match_id
98460,"[98.2, 44.7]",,Lorenzo Insigne,Left Wing,,Right Foot,,"[101.6, 44.6]",,,,Blocked,Normal,Open Play,True,,,0.00083011703,3879739
98466,"[95.0, 44.0]",True,Allan Marques Loureiro,Right Center Midfield,,Right Foot,,"[120.0, 68.4]",True,,,Wayward,Normal,Open Play,True,,,0.0018195179,3879739
98469,"[118.1, 26.8]",,Lorenzo Insigne,Left Wing,,Right Foot,True,"[119.1, 35.2, 0.4]",,,,Saved,Normal,Open Play,True,,,0.0037406073,3879739
98470,"[99.1, 13.2]",,Lorenzo Insigne,Left Wing,,Right Foot,,"[111.7, 80.0]",,,,Wayward,Normal,Open Play,,,,0.001687165,3879739
98473,"[101.9, 39.8]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[103.1, 44.9]",True,,,Wayward,Half Volley,Open Play,,,,0.0013479263,3879739
98474,"[87.8, 46.7]",,Marek Hamšík,Left Center Midfield,,Left Foot,,"[120.0, 36.0, 3.8]",,,,Off T,Normal,Open Play,,,,0.0027088493,3879739
98475,"[93.5, 47.5]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[120.0, 27.8, 0.2]",,,,Off T,Normal,Open Play,,,,0.009416427,3879739
98478,"[94.9, 42.1]",,Manolo Gabbiadini,Right Center Forward,,Right Foot,,"[120.0, 33.2, 0.3]",,,,Off T,Normal,Open Play,True,,,0.005328214,3879739
102227,"[99.5, 48.6]",,Jorge Luiz Frello Filho,Center Defensive Midfield,,Right Foot,,"[120.0, 33.9, 3.1]",True,,,Off T,Normal,Open Play,,,,0.002792574,3879756
102228,"[90.0, 31.7]",,Marek Hamšík,Left Center Midfield,,Left Foot,,"[120.0, 35.4, 6.0]",True,,,Off T,Normal,Open Play,,,,0.001936621,3879756
102229,"[102.6, 24.3]",,Lorenzo Insigne,Left Wing,,Right Foot,,"[120.0, 43.3, 4.1]",True,,,Off T,Normal,Open Play,,,,0.004689154,3879756
102230,"[111.6, 52.3]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[112.1, 51.5]",True,,,Blocked,Normal,Open Play,,,,0.002728407,3879756
102231,"[93.1, 37.7]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[120.0, 46.3, 5.3]",True,,,Off T,Normal,Open Play,True,,,0.0016898087,3879756
102232,"[111.4, 32.2]",,Gonzalo Gerardo Higuaín,Center Forward,,Left Foot,,"[112.1, 33.0]",,,,Blocked,Half Volley,Open Play,,,,0.0035381396,3879756
102233,"[102.7, 23.3]",,Lorenzo Insigne,Left Wing,,Right Foot,,"[120.0, 46.0, 1.3]",True,,,Off T,Normal,Open Play,,,,0.0034107522,3879756
102234,"[98.8, 47.9]",,José María Callejón Bueno,Right Wing,,Left Foot,,"[115.8, 40.7, 0.3]",,,,Saved,Normal,Open Play,,,,0.0020576075,3879756
102235,"[112.4, 35.2]",,José María Callejón Bueno,Right Wing,,Right Foot,,"[120.0, 35.5, 0.2]",True,,,Off T,Normal,Open Play,,,,0.006650075,3879756
102236,"[102.7, 34.3]",,Gonzalo Gerardo Higuaín,Center Forward,,Left Foot,,"[103.6, 34.5]",,,,Blocked,Normal,Open Play,,,,0.0014222397,3879756
